course,degree_program,motivation_transfer_bachelor,motivation_transfer_hs,motivation_current_tech,motivation_job_computing,motivation_relocation,motivation_prof_dev,motivation_personal_enrich,motivation_job_displacement,motivation_it_cert,motivation_financial,motivation_career_change,motivation_career_advancement
CMP 128 Computer Science I,Non Degree seeking,,,,,,,,,,,,
CMP 128 Computer Science I,Electronic engineering ,,,,,,,,,,,,
CMP 128 Computer Science I,Computer Science,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No
CMP 128 Computer Science I,Computer Science,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes
CMP 128 Computer Science I,Mechanical Engineering,,,,,,,,,,,,
CMP 128 Computer Science I,Computer Science,No,No,Yes,Yes,No,No,No,No,No,No,No,No
CMP 128 Computer Science I,Electronic Engineering,,,,,,,,,,,,
CMP 128 Computer Science I,Undecided,,,,,,,,,,,,
CMP 128 Computer Science I,Mathematics and Science,,,,,,,,,,,,
CMP 128 Computer Science I,Computer Science,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes
CMP 128 Computer Science I,Computer Science,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes
CMP 128 Computer Science I,Non Degree seeking,,,,,,,,,,,,
CMP 128 Computer Science I,mechanical engineering,,,,,,,,,,,,
CMP 128 Computer Science I,Non Degree seeking,,,,,,,,,,,,
CMP 128 Computer Science I,Computer Science,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes
CMP 128 Computer Science I,libral arts,,,,,,,,,,,,
CMP 128 Computer Science I,Computer Science,Yes,No,No,Yes,No,No,No,No,No,No,No,No
CMP 128 Computer Science I,Non Degree seeking,,,,,,,,,,,,
CMP 128 Computer Science I,CIS Game Development Option,Yes,No,No,Yes,No,No,No,No,No,No,No,No
CMP 128 Computer Science I,mechanical engineering ,,,,,,,,,,,,
CMP 128 Computer Science I,Computer Science,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No
CMP 128 Computer Science I,Mechanical Engineering ,,,,,,,,,,,,
CMP 128 Computer Science I,Computer Science,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes
CMP 128 Computer Science I,Computer Science,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No
CMP 128 Computer Science I,Computer Science,No,No,Yes,No,No,No,No,No,No,No,No,Yes
CMP 128 Computer Science I,Computer Science,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
CMP 128 Computer Science I,Computer Science,No,No,No,Yes,No,No,No,No,No,No,No,Yes
CMP 128 Computer Science I,Administrative Business,,,,,,,,,,,,
CMP 128 Computer Science I,Computer Science,No,No,No,No,No,No,No,No,No,No,No,No
CMP 128 Computer Science I,Mechanical Engineering,,,,,,,,,,,,
CMP 128 Computer Science I,Computer Science,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes
CMP 128 Computer Science I,Computer Science,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes
CMP 128 Computer Science I,Computer Science,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes
CMP 128 Computer Science I,Computer Science,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes
CMP 128 Computer Science I,CIS Game Development Option,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
CMP 128 Computer Science I,Computer Science,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CMP 128 Computer Science I,Computer Science,Yes,No,No,Yes,No,No,No,No,No,No,No,No
CMP 128 Computer Science I,Computer Science,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No
CMP 128 Computer Science I,electronic engineering ,,,,,,,,,,,,
CMP 128 Computer Science I,"Business Admin, might change to CompSci :)",,,,,,,,,,,,
CMP 128 Computer Science I,Computer Science,Yes,No,No,Yes,No,Yes,No,No,No,No,No,Yes
CMP 128 Computer Science I,Computer Science,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes
CMP 128 Computer Science I,Information Technology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CMP 130 Intro to IT,Computer Science,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes
CMP 128 Computer Science I,Electrical Engineering,,,,,,,,,,,,
CMP 130 Intro to IT,Information Technology,Yes,No,No,Yes,No,No,No,No,No,No,No,No
CMP 131 Fundamentals of Programming (Python),Computer Science,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes
CMP 130 Intro to IT,Information Technology,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes
CMP 128 Computer Science I,Computer Science,No,Yes,No,No,No,No,No,No,No,No,No,No
CMP 128 Computer Science I,Web Development Certificate of Achievement,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CMP 131 Fundamentals of Programming (Python),Computer Science,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes
CMP 131 Fundamentals of Programming (Python),Computer Science,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes
CMP 131 Fundamentals of Programming (Python),Information Technology,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No
CMP 131 Fundamentals of Programming (Python),Information Technology,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes
CMP 131 Fundamentals of Programming (Python),Information Technology,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes
CMP 131 Fundamentals of Programming (Python),Computer Science,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CMP 131 Fundamentals of Programming (Python),Information Technology,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No
CMP 131 Fundamentals of Programming (Python),Information Technology,No,No,No,Yes,No,No,No,No,Yes,No,No,No
CMP 131 Fundamentals of Programming (Python),Information Technology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CMP 128 Computer Science I,Business,,,,,,,,,,,,
CMP 131 Fundamentals of Programming (Python),Data Analytics Certificate of Achievement,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No
